id;murre;lat;lon;klaster
206;tartu;58.17;26.08;1
207;tartu;58.14;26.08;1
208;tartu;58.11;26.08;1
209;tartu;58.1;26.07;1
210;tartu;58.09;26.06;1
211;tartu;57.98;26.05;1
212;tartu;57.85;26;1
213;tartu;57.77;26.01;1
214;tartu;NA;NA;1
215;ida;58.47;26.72;1
216;ida;58.45;26.81;1
217;ida;58.49;26.84;1
218;ida;58.47;27.01;1
219;ida;58.43;27.11;1
220;ida;58.45;27.11;1
221;ida;58.44;27.19;1
222;ida;58.45;27.22;1
223;ida;58.38;27.28;1
224;ida;58.6;27.2;1
225;ida;58.72;27.1;1
226;ida;58.81;26.93;1
227;ida;58.88;26.95;1
228;ida;58.96;27.08;1
229;ida;58.99;27.22;1
230;ida;59.13;27.1;1
231;ida;59.16;26.99;1
232;ida;59.16;26.9;1
233;ida;59.12;26.85;1
234;ida;59.08;26.89;1
235;ida;59.03;26.8;1
236;ida;58.98;26.79;1
237;ida;58.94;26.58;1
238;ida;58.86;26.53;1
239;ida;58.83;26.43;1
240;ida;58.76;26.39;1
241;ida;58.7;26.43;1
242;ida;58.69;26.37;1
243;ida;58.62;26.44;1
244;ida;58.61;26.52;1
245;ida;58.57;26.56;1
246;ida;58.54;26.66;1
247;ida;58.47;26.72;1
248;ida;NA;NA;1
249;lääne;58.1;25.1;2
250;lääne;58.02;24.99;2
251;lääne;57.97;24.82;2
252;lääne;57.97;24.78;2
253;lääne;57.97;24.74;2
254;lääne;57.96;24.74;2
255;lääne;57.94;24.69;2
256;lääne;57.96;24.63;2
257;lääne;57.94;24.61;2
258;lääne;57.96;24.57;2
259;lääne;57.92;24.46;2
260;lääne;57.87;24.45;2
261;lääne;57.87;24.34;2
262;lääne;58.05;24.46;2
263;lääne;58.14;24.47;2
264;lääne;58.21;24.45;2
265;lääne;58.31;24.58;2
266;lääne;58.37;24.5;2
267;lääne;58.39;24.41;2
268;lääne;58.38;24.29;2
269;lääne;58.34;24.27;2
270;lääne;58.27;24.26;2
271;lääne;58.26;24.17;2
272;lääne;58.23;24.1;2
273;lääne;58.32;23.98;2
274;lääne;58.34;23.76;2
275;lääne;58.53;23.66;2
276;lääne;58.55;23.48;2
277;lääne;58.66;23.54;2
278;lääne;58.71;23.65;2
279;lääne;58.74;23.74;2
280;lääne;58.75;23.75;2
281;lääne;58.78;23.7;2
282;lääne;58.79;23.65;2
283;lääne;58.77;23.58;2
284;lääne;58.78;23.54;2
285;lääne;58.76;23.45;2
286;lääne;58.79;23.46;2
287;lääne;58.81;23.51;2
288;lääne;58.88;23.44;2
289;lääne;58.94;23.44;2
290;lääne;58.94;23.53;2
291;lääne;58.96;23.61;2
292;lääne;59.01;23.62;2
293;lääne;59;23.56;2
294;lääne;58.97;23.54;2
295;lääne;58.99;23.44;2
296;lääne;59.03;23.41;2
297;lääne;59.07;23.43;2
298;lääne;59.09;23.51;2
299;lääne;59.08;23.53;2
300;lääne;59.21;23.48;2
301;lääne;59.22;23.52;2
302;lääne;59.22;23.6;2
303;lääne;59.22;23.59;2
304;lääne;59.18;23.61;2
305;lääne;59.15;23.68;2
306;lääne;59.11;23.64;2
307;lääne;59.12;23.74;2
308;lääne;59.08;23.86;2
309;lääne;59.12;23.74;2
310;lääne;59.08;23.86;2
311;lääne;59.12;23.85;2
312;lääne;59.14;23.99;2
313;lääne;59.12;24.1;2
314;lääne;59.07;24.15;2
315;lääne;59.03;24.1;2
316;lääne;59.01;24.13;2
317;lääne;59.03;24.2;2
318;lääne;59;24.3;2
319;lääne;59.03;24.42;2
320;lääne;58.96;24.56;2
321;lääne;58.95;24.48;2
322;lääne;58.92;24.55;2
323;lääne;58.85;24.59;2
324;lääne;58.83;24.69;2
325;lääne;58.75;24.68;2
326;lääne;58.73;24.78;2
327;lääne;58.76;24.86;2
328;lääne;58.85;24.94;2
329;lääne;58.89;25.19;2
